IBERT instance name,Dir,A part,A inst,A pin name,A pin,A net,Coupling cap,B part,B inst,B pin name,B pin,B net,IO#
Quad_232/MGT_X0Y54,O,XCVU160-H1FLGC2104,IC15,MGTHTXP2_232,C7,C2T_GT_P<22>,No,XCKU095-1FFVB2104C,IC39,MGTYRXP0_130,U45,-,22
Quad_232/MGT_X0Y54,I,XCVU160-H1FLGC2104,IC15,MGTHRXP2_232,C2,SLRX3_P<0>_C,C514,AFBR-821FH1Z,RX18,D0+,D1,MP_RXD_P<0>_12,00
Quad_232/MGT_X0Y55,O,XCVU160-H1FLGC2104,IC15,MGTHTXP3_232,A7,C2T_GT_P<23>,No,XCKU095-1FFVB2104C,IC39,MGTYRXP1_130,T43,-,23
Quad_232/MGT_X0Y55,I,XCVU160-H1FLGC2104,IC15,MGTHRXP3_232,B4,SLRX3_N<3>_C,C518,AFBR-821FH1Z,RX18,D3-,H2,MP_RXD_N<3>_12,03
Quad_233/MGT_X0Y56,O,XCVU160-H1FLGC2104,IC15,MGTHTXP0_233,D9,C2T_GT_P<24>,No,XCKU095-1FFVB2104C,IC39,MGTYRXP2_130,R45,-,24
Quad_233/MGT_X0Y56,I,XCVU160-H1FLGC2104,IC15,MGTHRXP0_233,D14,SLRX8_N<6>_C,C367,AFBR-821FH1Z,RX14,D6-,B6,MP_RXD_N<6>,06
Quad_233/MGT_X0Y57,O,XCVU160-H1FLGC2104,IC15,MGTHTXP1_233,C11,C2T_GT_P<25>,No,XCKU095-1FFVB2104C,IC39,MGTYRXP2_131,L45,-,25
Quad_233/MGT_X0Y57,I,XCVU160-H1FLGC2104,IC15,MGTHRXP1_233,C16,SLRX8_P<2>_C,C363,AFBR-821FH1Z,RX14,D2+,A2,MP_RXD_P<2>,02
Quad_233/MGT_X0Y58,O,XCVU160-H1FLGC2104,IC15,MGTHTXP2_233,B9,C2T_GT_P<26>,No,XCKU095-1FFVB2104C,IC39,MGTYRXP3_130,P43,-,26
Quad_233/MGT_X0Y58,I,XCVU160-H1FLGC2104,IC15,MGTHRXP2_233,B14,SLRX8_P<7>_C,C377,AFBR-821FH1Z,RX14,D7+,J6,MP_RXD_P<7>,07
Quad_233/MGT_X0Y59,O,XCVU160-H1FLGC2104,IC15,MGTHTXP3_233,A11,C2T_GT_P<27>,No,XCKU095-1FFVB2104C,IC39,MGTYRXP1_131,M43,-,27
Quad_233/MGT_X0Y59,I,XCVU160-H1FLGC2104,IC15,MGTHRXP3_233,A16,SLRX8_N<4>_C,C365,AFBR-821FH1Z,RX14,D4-,B4,MP_RXD_N<4>,04
