Pin  | Xilinx pin name                      | Schematics pin name                  | Schematics net name                  | Schematics net name with index      
L22  | IO_L8P_T1L_N2_AD5P_71                | IO_L8P_T1L_N2_AD5P_71                | A2T_DP                               | A2T_DP<59>                          
L25  | IO_L7P_T1L_N0_QBC_AD13P_71           | IO_L7P_T1L_N0_QBC_AD13P_71           | A2T_DP                               | A2T_DP<54>                          
L24  | IO_L7N_T1L_N1_QBC_AD13N_71           | IO_L7N_T1L_N1_QBC_AD13N_71           | A2T_DN                               | A2T_DN<54>                          
L27  | IO_L9N_T1L_N5_AD12N_51               | IO_L9N_T1L_N5_AD12N_51               | C2T_DN                               | C2T_DN<20>                          
M36  | MGTAVCC_LN                           | MGTAVCC_LN                           | P1V0B                                | P1V0B                               
L29  | IO_L7N_T1L_N1_QBC_AD13N_51           | IO_L7N_T1L_N1_QBC_AD13N_51           | C2T_DN                               | C2T_DN<11>                          
L28  | IO_L8P_T1L_N2_AD5P_51                | IO_L8P_T1L_N2_AD5P_51                | C2T_DP                               | C2T_DP<12>                          
AV6  | MGTHTXN3_224                         | MGTHTXN3_224                         | QSFP_TX_I_N                          | QSFP_TX_I_N<4>                      
BC30 | VCCO_44                              | VCCO_44                              | P1V2                                 | P1V2                                
BC31 | IO_L7P_T1L_N0_QBC_AD13P_44           | IO_L7P_T1L_N0_QBC_AD13P_44           | TRP_DDR_DM                           | TRP_DDR_DM<1>                       
BC32 | IO_L7N_T1L_N1_QBC_AD13N_44           | IO_L7N_T1L_N1_QBC_AD13N_44           | NC                                   | NC                                  
M34  | IO_L10P_T1U_N6_QBC_AD4P_49           | IO_L10P_T1U_N6_QBC_AD4P_49           | C2T_DP                               | C2T_DP<38>                          
BC34 | IO_L7P_T1L_N0_QBC_AD13P_45           | IO_L7P_T1L_N0_QBC_AD13P_45           | NC                                   | NC                                  
BC35 | GND                                  | GND                                  | GND                                  | GND                                 
BC36 | IO_L11N_T1U_N9_GC_45                 | IO_L11N_T1U_N9_GC_45                 | NC                                   | NC                                  
BC37 | IO_L10N_T1U_N7_QBC_AD4N_45           | IO_L10N_T1U_N7_QBC_AD4N_45           | NC                                   | NC                                  
BC38 | IO_L6N_T0U_N11_AD6N_45               | IO_L6N_T0U_N11_AD6N_45               | NC                                   | NC                                  
BC39 | IO_L5P_T0U_N8_AD14P_45               | IO_L5P_T0U_N8_AD14P_45               | NC                                   | NC                                  
AD41 | GND                                  | GND                                  | GND                                  | GND                                 
M32  | IO_L13N_T2L_N1_GC_QBC_49             | IO_L13N_T2L_N1_GC_QBC_49             | C2T_DN                               | C2T_DN<31>                          
AV2  | MGTHRXP3_224                         | MGTHRXP3_224                         | QSFP_RX_O_P                          | QSFP_RX_O_P<4>                      
AV3  | GND                                  | GND                                  | GND                                  | GND                                 
AT18 | IO_L15P_T2L_N4_AD11P_66              | IO_L15P_T2L_N4_AD11P_66              | Z2T_AXI_D                            | Z2T_AXI_D<19>                       
AT19 | IO_L13P_T2L_N0_GC_QBC_66             | IO_L13P_T2L_N0_GC_QBC_66             | Z2T_AXI_CLK                          | Z2T_AXI_CLK                         
