IBERT instance name,Dir,A part,A inst,A pin name,A pin,A net,Coupling cap,B part,B inst,B pin name,B pin,B net,IO#
Quad_505/MGT_X0Y0,I,XCZU3EG-1SFVC784E,IC84,PS_MGTRRXP0_505,F27,GBE_T2Z_P,No,XCKU095-1FFVB2104C,IC39,MGTYTXP3_124,AW40,-,a_net?
Quad_505/MGT_X0Y0,O,XCZU3EG-1SFVC784E,IC84,PS_MGTRTXP0_505,E25,GBE_Z2T_P,No,XCKU095-1FFVB2104C,IC39,MGTYRXP3_124,AV43,-,a_net?
Quad_505/MGT_X0Y1,O,XCZU3EG-1SFVC784E,IC84,PS_MGTRTXP1_505,D23,-,-,-,-,-,-,-,-
Quad_505/MGT_X0Y1,I,XCZU3EG-1SFVC784E,IC84,PS_MGTRRXP1_505,D27,-,-,-,-,-,-,-,-
Quad_505/MGT_X0Y2,I,XCZU3EG-1SFVC784E,IC84,PS_MGTRRXP2_505,B27,GBESFP_RX_P,No,CON20P_SFP-1888247-1,J4,RD+,13,-,N/S
Quad_505/MGT_X0Y2,O,XCZU3EG-1SFVC784E,IC84,PS_MGTRTXP2_505,C25,GBESFP_TX_P,No,CON20P_SFP-1888247-1,J4,TD+,18,-,N/S
Quad_505/MGT_X0Y3,O,XCZU3EG-1SFVC784E,IC84,PS_MGTRTXP3_505,B23,-,-,-,-,-,-,-,-
Quad_505/MGT_X0Y3,I,XCZU3EG-1SFVC784E,IC84,PS_MGTRRXP3_505,A25,-,-,-,-,-,-,-,-
