Pin  | Pinout file pin name                 | Schematics pin name                  | Schematics net name                  | Schematics net name with index      
J36  | LVDS2N_11p                           | LVDS2N_11P                           | SX_DDR4_COMP_DQ27                    | SX_DDR4_COMP_DQ27                   
H33  | LVDS2N_12n                           | LVDS2N_12N                           | SX_DDR4_COMP_DQ24                    | SX_DDR4_COMP_DQ24                   
J33  | LVDS2N_12p                           | LVDS2N_12P                           | NC                                   | NC                                  
D39  | LVDS2N_13n                           | LVDS2N_13N                           | SX_DDR4_COMP_DBI_N0                  | SX_DDR4_COMP_DBI_N0                 
E39  | LVDS2N_13p                           | LVDS2N_13P                           | SX_DDR4_COMP_DQ7                     | SX_DDR4_COMP_DQ7                    
E38  | LVDS2N_14n                           | LVDS2N_14N                           | SX_DDR4_COMP_DQ1                     | SX_DDR4_COMP_DQ1                    
D38  | LVDS2N_14p                           | LVDS2N_14P                           | SX_DDR4_COMP_DQ0                     | SX_DDR4_COMP_DQ0                    
D35  | LVDS2N_15n                           | LVDS2N_15N                           | SX_DDR4_COMP_DQ5                     | SX_DDR4_COMP_DQ5                    
D34  | LVDS2N_15p                           | LVDS2N_15P                           | SX_DDR4_COMP_DQ4                     | SX_DDR4_COMP_DQ4                    
F36  | LVDS2N_16n                           | LVDS2N_16N                           | SX_DDR4_COMP_DQS_N0                  | SX_DDR4_COMP_DQS_N0                 
E36  | LVDS2N_16p                           | LVDS2N_16P                           | SX_DDR4_COMP_DQS_P0                  | SX_DDR4_COMP_DQS_P0                 
F37  | LVDS2N_17n                           | LVDS2N_17N                           | SX_DDR4_COMP_DQ6                     | SX_DDR4_COMP_DQ6                    
E37  | LVDS2N_17p                           | LVDS2N_17P                           | SX_DDR4_COMP_DQ3                     | SX_DDR4_COMP_DQ3                    
H37  | LVDS2N_18n                           | LVDS2N_18N                           | SX_DDR4_COMP_DQ2                     | SX_DDR4_COMP_DQ2                    
G37  | LVDS2N_18p                           | LVDS2N_18P                           | SX_DDR4_COMP_ALERT_N                 | SX_DDR4_COMP_ALERT_N                
C36  | LVDS2N_19n                           | LVDS2N_19N                           | SX_DDR4_COMP_DBI_N2                  | SX_DDR4_COMP_DBI_N2                 
D36  | LVDS2N_19p                           | LVDS2N_19P                           | SX_DDR4_COMP_DQ23                    | SX_DDR4_COMP_DQ23                   
C35  | LVDS2N_20n                           | LVDS2N_20N                           | SX_DDR4_COMP_DQ17                    | SX_DDR4_COMP_DQ17                   
B35  | LVDS2N_20p                           | LVDS2N_20P                           | SX_DDR4_COMP_DQ16                    | SX_DDR4_COMP_DQ16                   
B37  | LVDS2N_21n                           | LVDS2N_21N                           | SX_DDR4_COMP_DQ19                    | SX_DDR4_COMP_DQ19                   
C37  | LVDS2N_21p                           | LVDS2N_21P                           | SX_DDR4_COMP_DQ22                    | SX_DDR4_COMP_DQ22                   
A35  | LVDS2N_22n                           | LVDS2N_22N                           | SX_DDR4_COMP_DQS_N2                  | SX_DDR4_COMP_DQS_N2                 
A36  | LVDS2N_22p                           | LVDS2N_22P                           | SX_DDR4_COMP_DQS_P2                  | SX_DDR4_COMP_DQS_P2                 
B38  | LVDS2N_23n                           | LVDS2N_23N                           | SX_DDR4_COMP_DQ21                    | SX_DDR4_COMP_DQ21                   
C38  | LVDS2N_23p                           | LVDS2N_23P                           | SX_DDR4_COMP_DQ18                    | SX_DDR4_COMP_DQ18                   
A37  | LVDS2N_24n                           | LVDS2N_24N                           | SX_DDR4_COMP_DQ20                    | SX_DDR4_COMP_DQ20                   
A38  | LVDS2N_24p                           | LVDS2N_24P                           | NC                                   | NC                                  
U34  | LVDS2M_1n                            | LVDS2M_1N                            | NC                                   | NC                                  
U33  | LVDS2M_1p                            | LVDS2M_1P                            | NC                                   | NC                                  
T31  | LVDS2M_2n                            | LVDS2M_2N                            | NC                                   | NC                                  
R31  | LVDS2M_2p                            | LVDS2M_2P                            | NC                                   | NC                                  
T34  | LVDS2M_3n                            | LVDS2M_3N                            | NC                                   | NC                                  
R34  | LVDS2M_3p                            | LVDS2M_3P                            | NC                                   | NC                                  
T32  | LVDS2M_4n                            | LVDS2M_4N                            | NC                                   | NC                                  
