Pin  | Pinout file pin name                 | Schematics pin name                  | Schematics net name                  | Schematics net name with index      
AY33 | IO_L14N_T2L_N3_GC_68                 | IO_L14N_T2L_N3_GC_68                 | A2C_DN                               | A2C_DN<5>                           
AW33 | IO_L14P_T2L_N2_GC_68                 | IO_L14P_T2L_N2_GC_68                 | A2C_DP                               | A2C_DP<5>                           
AY35 | IO_L13N_T2L_N1_GC_QBC_68             | IO_L13N_T2L_N1_GC_QBC_68             | A2C_DN                               | A2C_DN<0>                           
AY34 | IO_L13P_T2L_N0_GC_QBC_68             | IO_L13P_T2L_N0_GC_QBC_68             | A2C_DP                               | A2C_DP<0>                           
AU34 | IO_L12N_T1U_N11_GC_68                | IO_L12N_T1U_N11_GC_68                | TTC_CLK_N                            | TTC_CLK_N<1>                        
AU33 | IO_L12P_T1U_N10_GC_68                | IO_L12P_T1U_N10_GC_68                | TTC_CLK_P                            | TTC_CLK_P<1>                        
AV34 | IO_L11N_T1U_N9_GC_68                 | IO_L11N_T1U_N9_GC_68                 | A2C_DN                               | A2C_DN<16>                          
AV33 | IO_L11P_T1U_N8_GC_68                 | IO_L11P_T1U_N8_GC_68                 | A2C_DP                               | A2C_DP<16>                          
AW36 | IO_L10N_T1U_N7_QBC_AD4N_68           | IO_L10N_T1U_N7_QBC_AD4N_68           | A2C_DN                               | A2C_DN<3>                           
AV36 | IO_L10P_T1U_N6_QBC_AD4P_68           | IO_L10P_T1U_N6_QBC_AD4P_68           | A2C_DP                               | A2C_DP<3>                           
AW35 | IO_L9N_T1L_N5_AD12N_68               | IO_L9N_T1L_N5_AD12N_68               | A2C_DN                               | A2C_DN<14>                          
AV35 | IO_L9P_T1L_N4_AD12P_68               | IO_L9P_T1L_N4_AD12P_68               | A2C_DP                               | A2C_DP<14>                          
AU32 | IO_L8N_T1L_N3_AD5N_68                | IO_L8N_T1L_N3_AD5N_68                | A2C_DN                               | A2C_DN<15>                          
AU31 | IO_L8P_T1L_N2_AD5P_68                | IO_L8P_T1L_N2_AD5P_68                | A2C_DP                               | A2C_DP<15>                          
AW31 | IO_L7N_T1L_N1_QBC_AD13N_68           | IO_L7N_T1L_N1_QBC_AD13N_68           | A2C_DN                               | A2C_DN<7>                           
AV31 | IO_L7P_T1L_N0_QBC_AD13P_68           | IO_L7P_T1L_N0_QBC_AD13P_68           | A2C_DP                               | A2C_DP<7>                           
AW32 | IO_T1U_N12_68                        | IO_T1U_N12_68                        | NC                                   | NC                                  
AU36 | IO_T0U_N12_VRP_68                    | IO_T0U_N12_VRP_68                    | NC                                   | NC                                  
