%#################################################################
Title:        Basenet Report
Design:       lasp
Date:         Mar 26 12:09:23 2021
%#################################################################


%
Base nets and synonyms for lasp_lib.LASP(@lasp_lib.lasp(sch_1))
%

Base Signal         	Synonyms                                                    	Location([Zone][dir])         
BP_PHY_RX1_P        	BP_PHY_RX1_P - @lasp_lib.LASP                               	 16D4 22B6                    
BP_PHY_TX0_N        	BP_PHY_TX0_N - @lasp_lib.LASP                               	 16D6 22B2                    
BP_PHY_TX0_P        	BP_PHY_TX0_P - @lasp_lib.LASP                               	 16D6 22B2                    
BP_PHY_TX1_N        	BP_PHY_TX1_N - @lasp_lib.LASP                               	 16C6 22B2                    
BP_PHY_TX1_P        	BP_PHY_TX1_P - @lasp_lib.LASP                               	 16D6 22B2                    
CDCL_OUT3_N         	CDCL_OUT3_N - @lasp_lib.LASP                                	 24A6 24B4                    
CDCL_OUT3_P         	CDCL_OUT3_P - @lasp_lib.LASP                                	 24A6 24B4                    
CLK25MHZ_1          	CLK25MHZ_1 - @lasp_lib.LASP                                 	 22A4 23B1                    
CLK25MHZ_2          	CLK25MHZ_2 - @lasp_lib.LASP                                 	 22B4 23B1                    
CLK25MHZ_3          	CLK25MHZ_3 - @lasp_lib.LASP                                 	 17B2 23B1                    
CLK25MHZ_4          	CLK25MHZ_4 - @lasp_lib.LASP                                 	 19A3 23B1                    
CLK_10_ADC          	CLK_10_ADC - @lasp_lib.LASP                                 	 45B4 45B5                    
CLK_240_MX_N        	CLK_240_MX_N - @lasp_lib.LASP                               	 25B1 27C6                    
CLK_240_MX_P        	CLK_240_MX_P - @lasp_lib.LASP                               	 25C1 27C6                    
CLK_240_SX_N        	CLK_240_SX_N - @lasp_lib.LASP                               	 25B1 26C6                    
CLK_240_SX_P        	CLK_240_SX_P - @lasp_lib.LASP                               	 25B1 26C6                    
CLK_ESRAM0_N        	CLK_ESRAM0_N - @lasp_lib.LASP                               	 31C4 43C6                    
CLK_ESRAM0_P        	CLK_ESRAM0_P - @lasp_lib.LASP                               	 31C4 43C6                    
CLK_ESRAM1_N        	CLK_ESRAM1_N - @lasp_lib.LASP                               	 31C4 43C6                    
CLK_ESRAM1_P        	CLK_ESRAM1_P - @lasp_lib.LASP                               	 31C4 43C6                    
CLK_LEMO_OUT_N      	CLK_LEMO_OUT_N - @lasp_lib.LASP                             	 24A6                         
CLK_LEMO_OUT_P      	CLK_LEMO_OUT_P - @lasp_lib.LASP                             	 24A6                         
CLK_UIB0_N          	CLK_UIB0_N - @lasp_lib.LASP                                 	 31C4 43C6                    
CLK_UIB0_P          	CLK_UIB0_P - @lasp_lib.LASP                                 	 31C4 43C6                    
CLK_UIB1_N          	CLK_UIB1_N - @lasp_lib.LASP                                 	 31C4 43C6                    
CLK_UIB1_P          	CLK_UIB1_P - @lasp_lib.LASP                                 	 31C4 43C6                    
CON_RST_33_N        	CON_RST_33_N - @lasp_lib.LASP                               	 49C6 50B5                    
CON_TCK_FOR_S10     	CON_TCK_FOR_S10 - @lasp_lib.LASP                            	 49C6 50B5                    
CON_TDI_FOR_S10     	CON_TDI_FOR_S10 - @lasp_lib.LASP                            	 49D6 50B5                    
CON_TDO_FOR_S10     	CON_TDO_FOR_S10 - @lasp_lib.LASP                            	 49C6 50B5                    
CON_TMS_FOR_S10     	CON_TMS_FOR_S10 - @lasp_lib.LASP                            	 49C6 50B5                    
DDR4_SI5338_CLKIN_N 	DDR4_SI5338_CLKIN_N - @lasp_lib.LASP                        	 31B4                         
DDR4_SI5338_CLKIN_P 	DDR4_SI5338_CLKIN_P - @lasp_lib.LASP                        	 31B4                         
DDR4_SI5338_INTR    	DDR4_SI5338_INTR - @lasp_lib.LASP                           	 31A3                         
DETECT_GLBL_CON_N   	DETECT_GLBL_CON_N - @lasp_lib.LASP                          	 49D6 50B4                    
DETECT_MX_CON_N     	DETECT_MX_CON_N - @lasp_lib.LASP                            	 49B6 50B3 50C3 50D6          
DETECT_SX_CON_N     	DETECT_SX_CON_N - @lasp_lib.LASP                            	 49A6 50A2 50B3 50C2          
DP_L3_5_N           	DP_L3_5_N - @lasp_lib.LASP                                  	 87B5                         
DP_L3_5_P           	DP_L3_5_P - @lasp_lib.LASP                                  	 87B5                         
DP_L3_10_N          	DP_L3_10_N - @lasp_lib.LASP                                 	 87C5                         
DP_L3_10_P          	DP_L3_10_P - @lasp_lib.LASP                                 	 87D5                         
DP_L5_5_N           	DP_L5_5_N - @lasp_lib.LASP                                  	 87B3                         
DP_L5_5_P           	DP_L5_5_P - @lasp_lib.LASP                                  	 87B3                         
DP_L5_10_N          	DP_L5_10_N - @lasp_lib.LASP                                 	 87C3                         
DP_L5_10_P          	DP_L5_10_P - @lasp_lib.LASP                                 	 87D3                         
EARLY_A             	EARLY_A - @lasp_lib.LASP                                    	 3A5 3D6                      
EARLY_B             	EARLY_B - @lasp_lib.LASP                                    	 3A5 3D6                      
ENABLE_12V          	ENABLE_12V - @lasp_lib.LASP                                 	 3C4 12B5                     
EXT_CLK_MX_N        	EXT_CLK_MX_N - @lasp_lib.LASP                               	 24C4 27C6                    
