%#################################################################
Title:        Basenet Report
Design:       lasp
Date:         Mar 26 12:09:23 2021
%#################################################################


%
Base nets and synonyms for lasp_lib.LASP(@lasp_lib.lasp(sch_1))
%

Base Signal         	Synonyms                                                    	Location([Zone][dir])         
GLOBAL_EV_MX_N<3>   	GLOBAL_EV_MX_N<3> - @lasp_lib.LASP                          	 55A2 59C6                    
GLOBAL_EV_MX_P<0>   	GLOBAL_EV_MX_P<0> - @lasp_lib.LASP                          	 55B2 59C6                    
GLOBAL_EV_MX_P<1>   	GLOBAL_EV_MX_P<1> - @lasp_lib.LASP                          	 55A2 59C6                    
GLOBAL_EV_MX_P<2>   	GLOBAL_EV_MX_P<2> - @lasp_lib.LASP                          	 55A2 59C6                    
GLOBAL_EV_MX_P<3>   	GLOBAL_EV_MX_P<3> - @lasp_lib.LASP                          	 55A2 59C6                    
GLOBAL_EV_SX_N<0>   	GLOBAL_EV_SX_N<0> - @lasp_lib.LASP                          	 75A5 81C1                    
GLOBAL_EV_SX_N<1>   	GLOBAL_EV_SX_N<1> - @lasp_lib.LASP                          	 75A5 81C1                    
GLOBAL_EV_SX_N<2>   	GLOBAL_EV_SX_N<2> - @lasp_lib.LASP                          	 75A5 81C1                    
GLOBAL_EV_SX_N<3>   	GLOBAL_EV_SX_N<3> - @lasp_lib.LASP                          	 75A5 81C1                    
GLOBAL_EV_SX_P<0>   	GLOBAL_EV_SX_P<0> - @lasp_lib.LASP                          	 75B5 81C1                    
GLOBAL_EV_SX_P<1>   	GLOBAL_EV_SX_P<1> - @lasp_lib.LASP                          	 75A5 81C1                    
GLOBAL_EV_SX_P<2>   	GLOBAL_EV_SX_P<2> - @lasp_lib.LASP                          	 75A5 81C1                    
GLOBAL_EV_SX_P<3>   	GLOBAL_EV_SX_P<3> - @lasp_lib.LASP                          	 75A5 81C1                    
HA0                 	HA0 - @lasp_lib.LASP                                        	 3B4 12D6                     
HA1                 	HA1 - @lasp_lib.LASP                                        	 3B4 12D6                     
HA2                 	HA2 - @lasp_lib.LASP                                        	 3B4 12D6                     
HA3                 	HA3 - @lasp_lib.LASP                                        	 3B4 12D6                     
HA4                 	HA4 - @lasp_lib.LASP                                        	 3B4 12D6                     
HA5                 	HA5 - @lasp_lib.LASP                                        	 3A4 12D6                     
HA6                 	HA6 - @lasp_lib.LASP                                        	 3A4 12C6                     
HA7                 	HA7 - @lasp_lib.LASP                                        	 3A4 12C6                     
HANDLE_SW_N         	HANDLE_SW_N - @lasp_lib.LASP                                	 3B2 12B6                     
HPS_LED01_BLUE_DRAIN	HPS_LED01_BLUE_DRAIN - @lasp_lib.LASP                       	 84D2 84D6                    
HPS_LED01_BLUE_GATE 	HPS_LED01_BLUE_GATE - @lasp_lib.LASP                        	 71B3 84C6                    
HPS_LED01_GREEN_DRAIN	HPS_LED01_GREEN_DRAIN - @lasp_lib.LASP                      	 84C2 84D4                    
HPS_LED01_GREEN_GATE	HPS_LED01_GREEN_GATE - @lasp_lib.LASP                       	 71B3 84C5                    
HPS_LED01_RED_DRAIN 	HPS_LED01_RED_DRAIN - @lasp_lib.LASP                        	 84C2 84D4                    
HPS_LED01_RED_GATE  	HPS_LED01_RED_GATE - @lasp_lib.LASP                         	 71B3 84C4                    
HPS_LED02_BLUE_DRAIN	HPS_LED02_BLUE_DRAIN - @lasp_lib.LASP                       	 84C2 84D5                    
HPS_LED02_BLUE_GATE 	HPS_LED02_BLUE_GATE - @lasp_lib.LASP                        	 71B3 84C3                    
HPS_LED02_GREEN_DRAIN	HPS_LED02_GREEN_DRAIN - @lasp_lib.LASP                      	 84C2 84C6                    
HPS_LED02_GREEN_GATE	HPS_LED02_GREEN_GATE - @lasp_lib.LASP                       	 71B3 84C6                    
HPS_LED02_RED_DRAIN 	HPS_LED02_RED_DRAIN - @lasp_lib.LASP                        	 84C2 84C5                    
HPS_LED02_RED_GATE  	HPS_LED02_RED_GATE - @lasp_lib.LASP                         	 71B3 84C5                    
HPS_LED03_BLUE_DRAIN	HPS_LED03_BLUE_DRAIN - @lasp_lib.LASP                       	 84B2 84B6                    
HPS_LED03_BLUE_GATE 	HPS_LED03_BLUE_GATE - @lasp_lib.LASP                        	 71B3 84C4                    
HPS_LED03_GREEN_DRAIN	HPS_LED03_GREEN_DRAIN - @lasp_lib.LASP                      	 84B2 84C4                    
HPS_LED03_GREEN_GATE	HPS_LED03_GREEN_GATE - @lasp_lib.LASP                       	 71B3 84C3                    
HPS_LED03_RED_DRAIN 	HPS_LED03_RED_DRAIN - @lasp_lib.LASP                        	 84B2 84C4                    
HPS_LED03_RED_GATE  	HPS_LED03_RED_GATE - @lasp_lib.LASP                         	 71B3 84B6                    
HPS_LED04_BLUE_DRAIN	HPS_LED04_BLUE_DRAIN - @lasp_lib.LASP                       	 84B2 84B6                    
HPS_LED04_BLUE_GATE 	HPS_LED04_BLUE_GATE - @lasp_lib.LASP                        	 71B3 84B5                    
HPS_LED04_GREEN_DRAIN	HPS_LED04_GREEN_DRAIN - @lasp_lib.LASP                      	 84A2 84B4                    
HPS_LED04_GREEN_GATE	HPS_LED04_GREEN_GATE - @lasp_lib.LASP                       	 71B3 84B4                    
HPS_LED04_RED_DRAIN 	HPS_LED04_RED_DRAIN - @lasp_lib.LASP                        	 84A2 84B4                    
HPS_LED04_RED_GATE  	HPS_LED04_RED_GATE - @lasp_lib.LASP                         	 71B3 84B3                    
HPS_SPI_CLK         	HPS_SPI_CLK - @lasp_lib.LASP                                	 71C3                         
HPS_SPI_CS0_N       	HPS_SPI_CS0_N - @lasp_lib.LASP                              	 71C3                         
HPS_SPI_SDO         	HPS_SPI_SDO - @lasp_lib.LASP                                	 71C3                         
INPUT_CLK_TO_MX_LEFT_N	INPUT_CLK_TO_MX_LEFT_N - @lasp_lib.LASP                     	 27B1 58C5                    
INPUT_CLK_TO_MX_LEFT_P	INPUT_CLK_TO_MX_LEFT_P - @lasp_lib.LASP                     	 27B1 58B5                    
INPUT_CLK_TO_MX_RIGHT_N	INPUT_CLK_TO_MX_RIGHT_N - @lasp_lib.LASP                    	 27B1 58B3                    
INPUT_CLK_TO_MX_RIGHT_P	INPUT_CLK_TO_MX_RIGHT_P - @lasp_lib.LASP                    	 27B1 58B3                    
INPUT_CLK_TO_SX_LEFT_N	INPUT_CLK_TO_SX_LEFT_N - @lasp_lib.LASP                     	 26B1 78C5                    
INPUT_CLK_TO_SX_LEFT_P	INPUT_CLK_TO_SX_LEFT_P - @lasp_lib.LASP                     	 26B1 78C5                    
INPUT_CLK_TO_SX_RIGHT_N	INPUT_CLK_TO_SX_RIGHT_N - @lasp_lib.LASP                    	 26B1 29B5                    
INPUT_CLK_TO_SX_RIGHT_P	INPUT_CLK_TO_SX_RIGHT_P - @lasp_lib.LASP                    	 26B1 29B5                    
IPMB_A_SCL          	IPMB_A_SCL - @lasp_lib.LASP                                 	 3A5 12D4                     
IPMB_A_SDA          	IPMB_A_SDA - @lasp_lib.LASP                                 	 3A5 12D4                     
IPMB_B_SCL          	IPMB_B_SCL - @lasp_lib.LASP                                 	 3A5 12C4                     
IPMB_B_SDA          	IPMB_B_SDA - @lasp_lib.LASP                                 	 3A5 12C4                     
IPMB_L_SCL          	IPMB_L_SCL - @lasp_lib.LASP                                 	 12B1                         
IPMB_L_SDA          	IPMB_L_SDA - @lasp_lib.LASP                                 	 12B1                         
IPMC_AMBER_LED_GATE 	IPMC_AMBER_LED_GATE - @lasp_lib.LASP                        	 12B6 13A4                    
IPMC_BLUE_LED_GATE  	IPMC_BLUE_LED_GATE - @lasp_lib.LASP                         	 12B6 13A6                    
IPMC_GBE_RX0_N      	IPMC_GBE_RX0_N - @lasp_lib.LASP                             	 12B5 18C2                    
IPMC_GBE_RX0_P      	IPMC_GBE_RX0_P - @lasp_lib.LASP                             	 12B5 18C2                    
IPMC_GBE_TX0_N      	IPMC_GBE_TX0_N - @lasp_lib.LASP                             	 12B5 18C2                    
IPMC_GBE_TX0_P      	IPMC_GBE_TX0_P - @lasp_lib.LASP                             	 12B5 18C2                    
IPMC_GREEN_LED_GATE 	IPMC_GREEN_LED_GATE - @lasp_lib.LASP                        	 12B6 13A5                    
IPMC_I2C_SWITCH_RST_N	IPMC_I2C_SWITCH_RST_N - @lasp_lib.LASP                      	 12B3 13C3                    
IPMC_MASTER_TCK     	IPMC_MASTER_TCK - @lasp_lib.LASP                            	 12B6 50B5                    
IPMC_MASTER_TDI     	IPMC_MASTER_TDI - @lasp_lib.LASP                            	 12B6 50B5                    
IPMC_MASTER_TDO     	IPMC_MASTER_TDO - @lasp_lib.LASP                            	 12B6 50B5                    
IPMC_MASTER_TMS     	IPMC_MASTER_TMS - @lasp_lib.LASP                            	 12B6 50B5                    
IPMC_MASTER_TRST_N  	IPMC_MASTER_TRST_N - @lasp_lib.LASP                         	 12B6 50B5                    
IPMC_PHY_RX_N       	IPMC_PHY_RX_N - @lasp_lib.LASP                              	 18D2 22B4                    
IPMC_PHY_RX_P       	IPMC_PHY_RX_P - @lasp_lib.LASP                              	 18D2 22B4                    
IPMC_PHY_TX_N       	IPMC_PHY_TX_N - @lasp_lib.LASP                              	 18C6 22B3                    
IPMC_PHY_TX_P       	IPMC_PHY_TX_P - @lasp_lib.LASP                              	 18D6 22B3                    
IPMC_RED_LED_GATE   	IPMC_RED_LED_GATE - @lasp_lib.LASP                          	 12B6 13A6                    
IPMC_RTM_0          	IPMC_RTM_0 - @lasp_lib.LASP                                 	 7C4 12B2                     
IPMC_RTM_1          	IPMC_RTM_1 - @lasp_lib.LASP                                 	 7C3 12B2                     
IPMC_RTM_2          	IPMC_RTM_2 - @lasp_lib.LASP                                 	 7C4 12B2                     
IPMC_RTM_3          	IPMC_RTM_3 - @lasp_lib.LASP                                 	 7C3 12B2                     
IPMC_RTM_4          	IPMC_RTM_4 - @lasp_lib.LASP                                 	 7B4 12B2                     
IPMC_RTM_5          	IPMC_RTM_5 - @lasp_lib.LASP                                 	 7A4 12B2                     
IPMC_RTM_6          	IPMC_RTM_6 - @lasp_lib.LASP                                 	 7B3 12B2                     
IPMC_SENSOR_I2C_SCL 	IPMC_SENSOR_I2C_SCL - @lasp_lib.LASP                        	 12B5 13B4 13C4               
IPMC_SENSOR_I2C_SDA 	IPMC_SENSOR_I2C_SDA - @lasp_lib.LASP                        	 12B5 13B4 13C4               
J1_HA<0..7>         	J1_HA<0..7> - @lasp_lib.LASP                                	 3A5 12D6                     
JTAG_CHAIN_MX_FPGA_N	JTAG_CHAIN_MX_FPGA_N - @lasp_lib.LASP                       	 49A3 50B5                    
JTAG_CHAIN_RTM_FPGA_N	JTAG_CHAIN_RTM_FPGA_N - @lasp_lib.LASP                      	 49A3 50B5                    
JTAG_CHAIN_SX_FPGA_N	JTAG_CHAIN_SX_FPGA_N - @lasp_lib.LASP                       	 49A3 50B5                    
JTAG_MASTER_IPMC_N  	JTAG_MASTER_IPMC_N - @lasp_lib.LASP                         	 49A3 50B5                    
JTAG_TCK_UNBUFF     	JTAG_TCK_UNBUFF - @lasp_lib.LASP                            	 49C4 50B2 50B3 50C6          
JTAG_TMS_UNBUFF     	JTAG_TMS_UNBUFF - @lasp_lib.LASP                            	 49C4 50B3 50C2 50C6          
LINK_MAX10_MX_CLK   	LINK_MAX10_MX_CLK - @lasp_lib.LASP                          	 47C2 48B1                    
LINK_MAX10_MX_DATA  	LINK_MAX10_MX_DATA - @lasp_lib.LASP                         	 47C2 48B1                    
LINK_MAX10_MX_VALID 	LINK_MAX10_MX_VALID - @lasp_lib.LASP                        	 47B2 48B1                    
LINK_MAX10_SX_CLK   	LINK_MAX10_SX_CLK - @lasp_lib.LASP                          	 47C6 48B1                    
LINK_MAX10_SX_DATA  	LINK_MAX10_SX_DATA - @lasp_lib.LASP                         	 47C6 48A1                    
LINK_MAX10_SX_VALID 	LINK_MAX10_SX_VALID - @lasp_lib.LASP                        	 47C6 48A1                    
LINK_MX_MAX10_CLK   	LINK_MX_MAX10_CLK - @lasp_lib.LASP                          	 47B2 48B1                    
LINK_MX_MAX10_DATA  	LINK_MX_MAX10_DATA - @lasp_lib.LASP                         	 47B2 48B1                    
LINK_MX_MAX10_VALID 	LINK_MX_MAX10_VALID - @lasp_lib.LASP                        	 47B2 50B3                    
LINK_SX_MAX10_CLK   	LINK_SX_MAX10_CLK - @lasp_lib.LASP                          	 47B6 48B1                    
LINK_SX_MAX10_DATA  	LINK_SX_MAX10_DATA - @lasp_lib.LASP                         	 47B6 48B1                    
LINK_SX_MAX10_VALID 	LINK_SX_MAX10_VALID - @lasp_lib.LASP                        	 47B6 50B3                    
LVDS_CLOCK_TEST_FROM_MX_TO_RTM_N	LVDS_CLOCK_TEST_FROM_MX_TO_RTM_N - @lasp_lib.LASP           	 7C5 58B6                     
LVDS_CLOCK_TEST_FROM_MX_TO_RTM_P	LVDS_CLOCK_TEST_FROM_MX_TO_RTM_P - @lasp_lib.LASP           	 7C5 58B6                     
LVDS_CLOCK_TEST_FROM_RTM_MX_AC_N	LVDS_CLOCK_TEST_FROM_RTM_MX_AC_N - @lasp_lib.LASP           	 58A5 58B6                    
LVDS_CLOCK_TEST_FROM_RTM_MX_AC_P	LVDS_CLOCK_TEST_FROM_RTM_MX_AC_P - @lasp_lib.LASP           	 58A5 58B6                    
LVDS_CLOCK_TEST_FROM_RTM_SX_AC_N	LVDS_CLOCK_TEST_FROM_RTM_SX_AC_N - @lasp_lib.LASP           	 78A2 78C3                    
LVDS_CLOCK_TEST_FROM_RTM_SX_AC_P	LVDS_CLOCK_TEST_FROM_RTM_SX_AC_P - @lasp_lib.LASP           	 78A2 78C3                    
LVDS_CLOCK_TEST_FROM_RTM_TO_MX_N	LVDS_CLOCK_TEST_FROM_RTM_TO_MX_N - @lasp_lib.LASP           	 7C5 58A6                     
LVDS_CLOCK_TEST_FROM_RTM_TO_MX_P	LVDS_CLOCK_TEST_FROM_RTM_TO_MX_P - @lasp_lib.LASP           	 7C5 58A6                     
LVDS_CLOCK_TEST_FROM_RTM_TO_SX_N	LVDS_CLOCK_TEST_FROM_RTM_TO_SX_N - @lasp_lib.LASP           	 7C3 78A3                     
LVDS_CLOCK_TEST_FROM_RTM_TO_SX_P	LVDS_CLOCK_TEST_FROM_RTM_TO_SX_P - @lasp_lib.LASP           	 7C3 78A3                     
LVDS_CLOCK_TEST_FROM_SX_TO_RTM_N	LVDS_CLOCK_TEST_FROM_SX_TO_RTM_N - @lasp_lib.LASP           	 7C3 78C3                     
LVDS_CLOCK_TEST_FROM_SX_TO_RTM_P	LVDS_CLOCK_TEST_FROM_SX_TO_RTM_P - @lasp_lib.LASP           	 7C3 78C3                     
LVDS_DATA_TEST_FROM_MX_TO_RTM_N	LVDS_DATA_TEST_FROM_MX_TO_RTM_N - @lasp_lib.LASP            	 7C5 58C6                     
LVDS_DATA_TEST_FROM_MX_TO_RTM_P	LVDS_DATA_TEST_FROM_MX_TO_RTM_P - @lasp_lib.LASP            	 7C5 58C6                     
LVDS_DATA_TEST_FROM_RTM_TO_MX_N	LVDS_DATA_TEST_FROM_RTM_TO_MX_N - @lasp_lib.LASP            	 7C5 58C6                     
LVDS_DATA_TEST_FROM_RTM_TO_MX_P	LVDS_DATA_TEST_FROM_RTM_TO_MX_P - @lasp_lib.LASP            	 7C5 58C6                     
LVDS_DATA_TEST_FROM_RTM_TO_SX_N	LVDS_DATA_TEST_FROM_RTM_TO_SX_N - @lasp_lib.LASP            	 7C4 78B3                     
LVDS_DATA_TEST_FROM_RTM_TO_SX_P	LVDS_DATA_TEST_FROM_RTM_TO_SX_P - @lasp_lib.LASP            	 7C4 78B3                     
LVDS_DATA_TEST_FROM_SX_TO_RTM_N	LVDS_DATA_TEST_FROM_SX_TO_RTM_N - @lasp_lib.LASP            	 7B4 78B3                     
LVDS_DATA_TEST_FROM_SX_TO_RTM_P	LVDS_DATA_TEST_FROM_SX_TO_RTM_P - @lasp_lib.LASP            	 7B4 78B3                     
M10_CONFIG_SEL      	M10_CONFIG_SEL - @lasp_lib.LASP                             	 45C3 45D2                    
M10_CONF_DONE       	M10_CONF_DONE - @lasp_lib.LASP                              	 45D2                         
M10_JTAGEN          	M10_JTAGEN - @lasp_lib.LASP                                 	 45D4                         
M10_MX_TXB0102_OE   	M10_MX_TXB0102_OE - @lasp_lib.LASP                          	 25D6 50B4                    
M10_MX_TXB0104_OE   	M10_MX_TXB0104_OE - @lasp_lib.LASP                          	 25C6 50B4                    
M10_NSTATUS         	M10_NSTATUS - @lasp_lib.LASP                                	 45D2                         
M10_PB_USER0N       	M10_PB_USER0N - @lasp_lib.LASP                              	 45C2 50C4                    
M10_PB_USER1N       	M10_PB_USER1N - @lasp_lib.LASP                              	 45B2 50C4                    
M10_PB_USER2N       	M10_PB_USER2N - @lasp_lib.LASP                              	 45B2 50C4                    
M10_PULSE_NCONFIG   	M10_PULSE_NCONFIG - @lasp_lib.LASP                          	 45C3 45D2                    
M10_RESETN          	M10_RESETN - @lasp_lib.LASP                                 	 45C3 45D2                    
M10_STATIC_I0       	M10_STATIC_I0 - @lasp_lib.LASP                              	 45C3 48B3                    
M10_STATIC_I1       	M10_STATIC_I1 - @lasp_lib.LASP                              	 45C3 48B3                    
M10_STATIC_I2       	M10_STATIC_I2 - @lasp_lib.LASP                              	 45C3 48B3                    
M10_SX_TXB0102_OE   	M10_SX_TXB0102_OE - @lasp_lib.LASP                          	 25A6 50B4                    
M10_SX_TXB0104_OE   	M10_SX_TXB0104_OE - @lasp_lib.LASP                          	 25B6 50B4                    
M10_TCK             	M10_TCK - @lasp_lib.LASP                                    	 45C5 45D4                    
M10_TDI             	M10_TDI - @lasp_lib.LASP                                    	 45C5 45D4                    
M10_TDO             	M10_TDO - @lasp_lib.LASP                                    	 45C5 45D4                    
M10_TMS             	M10_TMS - @lasp_lib.LASP                                    	 45C5 45D4                    
M48V_A              	M48V_A - @lasp_lib.LASP                                     	 3A5 3D6                      
M48V_B              	M48V_B - @lasp_lib.LASP                                     	 3A5 3C6                      
M48V_ENABLE_A       	M48V_ENABLE_A - @lasp_lib.LASP                              	 3A5 3D6                      
M48V_ENABLE_B       	M48V_ENABLE_B - @lasp_lib.LASP                              	 3A5 3C6                      
M48V_VRTN_A         	M48V_VRTN_A - @lasp_lib.LASP                                	 3A5 3D6                      
M48V_VRTN_B         	M48V_VRTN_B - @lasp_lib.LASP                                	 3A5 3C6                      
MAIN_P1_8V_DIV      	MAIN_P1_8V_DIV - @lasp_lib.LASP                             	 10A6 10B1                    
MAIN_P2_5V_DIV      	MAIN_P2_5V_DIV - @lasp_lib.LASP                             	 10A3 10A6                    
MAIN_P3_3V_DIV      	MAIN_P3_3V_DIV - @lasp_lib.LASP                             	 10A6 10B2                    
MAX10_CLK50         	MAX10_CLK50 - @lasp_lib.LASP                                	 45A4 45A5                    
MAX10_CLOCK_I2C_SCL 	MAX10_CLOCK_I2C_SCL - @lasp_lib.LASP                        	 26A6 27A6 31A5 31C6 45B6 48A5 48C3 
MAX10_CLOCK_I2C_SDA 	MAX10_CLOCK_I2C_SDA - @lasp_lib.LASP                        	 26A6 27A6 31A5 31C6 45B6 48A5 48C3 
MAX10_EN_P1_8V_SI5338_DDR4	MAX10_EN_P1_8V_SI5338_DDR4 - @lasp_lib.LASP                 	 31B6 48B4                    
MAX10_INTERNAL_SEQUENCER_PMBUS_SCL	MAX10_INTERNAL_SEQUENCER_PMBUS_SCL - @lasp_lib.LASP         	 50A5 50A6                    
MAX10_INTERNAL_SEQUENCER_PMBUS_SDA	MAX10_INTERNAL_SEQUENCER_PMBUS_SDA - @lasp_lib.LASP         	 50A5 50A6                    
MAX10_IPMC_USER_IO1 	MAX10_IPMC_USER_IO1 - @lasp_lib.LASP                        	 12C4 48A5                    
MAX10_IPMC_USER_IO2 	MAX10_IPMC_USER_IO2 - @lasp_lib.LASP                        	 12C4 48A5                    
MAX10_IPMC_USER_IO3 	MAX10_IPMC_USER_IO3 - @lasp_lib.LASP                        	 12C4 48B5                    
MAX10_IPMC_USER_IO4 	MAX10_IPMC_USER_IO4 - @lasp_lib.LASP                        	 12B4 48B5                    
MAX10_IPMC_USER_P3V3_IO1	MAX10_IPMC_USER_P3V3_IO1 - @lasp_lib.LASP                   	 48A6 48B3                    
MAX10_IPMC_USER_P3V3_IO2	MAX10_IPMC_USER_P3V3_IO2 - @lasp_lib.LASP                   	 48A6 48B3                    
MAX10_IPMC_USER_P3V3_IO3	MAX10_IPMC_USER_P3V3_IO3 - @lasp_lib.LASP                   	 48B3 48B6                    
MAX10_IPMC_USER_P3V3_IO4	MAX10_IPMC_USER_P3V3_IO4 - @lasp_lib.LASP                   	 48B3 48B6                    
MAX10_LED01_BLUE_DRAIN	MAX10_LED01_BLUE_DRAIN - @lasp_lib.LASP                     	 83D2 83D5                    
MAX10_LED01_BLUE_GATE	MAX10_LED01_BLUE_GATE - @lasp_lib.LASP                      	 48B5 83D6                    
MAX10_LED01_GREEN_DRAIN	MAX10_LED01_GREEN_DRAIN - @lasp_lib.LASP                    	 83D2 83D4                    
MAX10_LED01_GREEN_GATE	MAX10_LED01_GREEN_GATE - @lasp_lib.LASP                     	 48B5 83D5                    
MAX10_LED01_RED_DRAIN	MAX10_LED01_RED_DRAIN - @lasp_lib.LASP                      	 83C2 83D4                    
MAX10_LED01_RED_GATE	MAX10_LED01_RED_GATE - @lasp_lib.LASP                       	 48B5 83D4                    
MAX10_LED02_BLUE_DRAIN	MAX10_LED02_BLUE_DRAIN - @lasp_lib.LASP                     	 83C2 83D6                    
MAX10_LED02_BLUE_GATE	MAX10_LED02_BLUE_GATE - @lasp_lib.LASP                      	 48B5 83D3                    
MAX10_LED02_GREEN_DRAIN	MAX10_LED02_GREEN_DRAIN - @lasp_lib.LASP                    	 83C2 83C6                    
MAX10_LED02_GREEN_GATE	MAX10_LED02_GREEN_GATE - @lasp_lib.LASP                     	 48B5 83C6                    
MAX10_LED02_RED_DRAIN	MAX10_LED02_RED_DRAIN - @lasp_lib.LASP                      	 83C2 83C5                    
MAX10_LED02_RED_GATE	MAX10_LED02_RED_GATE - @lasp_lib.LASP                       	 48B5 83C5                    
MAX10_LED03_BLUE_DRAIN	MAX10_LED03_BLUE_DRAIN - @lasp_lib.LASP                     	 83B2 83B6                    
MAX10_LED03_BLUE_GATE	MAX10_LED03_BLUE_GATE - @lasp_lib.LASP                      	 48B5 83C4                    
MAX10_LED03_GREEN_DRAIN	MAX10_LED03_GREEN_DRAIN - @lasp_lib.LASP                    	 83B2 83C4                    
MAX10_LED03_GREEN_GATE	MAX10_LED03_GREEN_GATE - @lasp_lib.LASP                     	 48B5 83C3                    
MAX10_LED03_RED_DRAIN	MAX10_LED03_RED_DRAIN - @lasp_lib.LASP                      	 83B2 83C4                    
MAX10_LED03_RED_GATE	MAX10_LED03_RED_GATE - @lasp_lib.LASP                       	 48B5 83B6                    
MAX10_LED04_BLUE_DRAIN	MAX10_LED04_BLUE_DRAIN - @lasp_lib.LASP                     	 83B2 83B6                    
MAX10_LED04_BLUE_GATE	MAX10_LED04_BLUE_GATE - @lasp_lib.LASP                      	 48B5 83B5                    
MAX10_LED04_GREEN_DRAIN	MAX10_LED04_GREEN_DRAIN - @lasp_lib.LASP                    	 83B2 83B4                    
MAX10_LED04_GREEN_GATE	MAX10_LED04_GREEN_GATE - @lasp_lib.LASP                     	 48B5 83B4                    
MAX10_LED04_RED_DRAIN	MAX10_LED04_RED_DRAIN - @lasp_lib.LASP                      	 83A2 83B4                    
MAX10_LED04_RED_GATE	MAX10_LED04_RED_GATE - @lasp_lib.LASP                       	 48B5 83B3                    
MAX10_SDM_MX_SCL    	MAX10_SDM_MX_SCL - @lasp_lib.LASP                           	 33C5 48C3                    
                    	M10_SDM_SCL - @lasp_lib.ALIMS(i12_page4)                    	 90B2<                        
MAX10_SDM_MX_SDA    	MAX10_SDM_MX_SDA - @lasp_lib.LASP                           	 33C5 48C3                    
                    	M10_SDM_SDA - @lasp_lib.ALIMS(i12_page4)                    	 90B2<>                       
MAX10_SDM_SX_SCL    	MAX10_SDM_SX_SCL - @lasp_lib.LASP                           	 48A3 48B3 62B5               
                    	M10_SDM_SCL - @lasp_lib.ALIMS(i1_page7)                     	 104B2<                       
MAX10_SDM_SX_SDA    	MAX10_SDM_SX_SDA - @lasp_lib.LASP                           	 48A3 48B3 62B5               
                    	M10_SDM_SDA - @lasp_lib.ALIMS(i1_page7)                     	 104B2<>                      
MAX10_SENSOR_BUFFER0_SCL	MAX10_SENSOR_BUFFER0_SCL - @lasp_lib.LASP                   	 13C1                         
MAX10_SENSOR_BUFFER0_SDA	MAX10_SENSOR_BUFFER0_SDA - @lasp_lib.LASP                   	 13D2                         
MAX10_SENSOR_I2C_SCL	MAX10_SENSOR_I2C_SCL - @lasp_lib.LASP                       	 13D3 48A4 48B3               
MAX10_SENSOR_I2C_SDA	MAX10_SENSOR_I2C_SDA - @lasp_lib.LASP                       	 13D3 48A4 48B3               
MEZZ_TCK            	MEZZ_TCK - @lasp_lib.LASP                                   	 12C4 12D5                    
MEZZ_TDI            	MEZZ_TDI - @lasp_lib.LASP                                   	 12D4 12D5                    
MEZZ_TDO            	MEZZ_TDO - @lasp_lib.LASP                                   	 12C4 12D5                    
MEZZ_TMS            	MEZZ_TMS - @lasp_lib.LASP                                   	 12C4 12D5                    
MGT_I2C_SCL         	MGT_I2C_SCL - @lasp_lib.LASP                                	 3C6 12A1 12B5                
MGT_I2C_SDA         	MGT_I2C_SDA - @lasp_lib.LASP                                	 3C6 12A1 12B5                
MX_3V5_LTM4626_POK  	MX_3V5_LTM4626_POK - @lasp_lib.LASP                         	 33B5 48A5                    
                    	3V5_LTM4626_POK - @lasp_lib.ALIMS(i12_page4)                	 93C2>                        
MX_12V_M            	MX_12V_M - @lasp_lib.LASP                                   	 4D1 8B2                      
MX_ALERTN           	MX_ALERTN - @lasp_lib.LASP                                  	 43A2 48B5                    
MX_AS_CLK           	MX_AS_CLK - @lasp_lib.LASP                                  	 42A6 42C4                    
MX_AS_CLK_R         	MX_AS_CLK_R - @lasp_lib.LASP                                	 42C4                         
MX_AS_DATA0         	MX_AS_DATA0 - @lasp_lib.LASP                                	 42A5 42C4                    
MX_AS_DATA1         	MX_AS_DATA1 - @lasp_lib.LASP                                	 42A5 42C4                    
MX_AS_DATA2         	MX_AS_DATA2 - @lasp_lib.LASP                                	 42A5 42C4                    
MX_AS_DATA3         	MX_AS_DATA3 - @lasp_lib.LASP                                	 42A5 42C4                    
MX_BP0              	MX_BP0 - @lasp_lib.LASP                                     	 30A2 30D6                    
MX_BP1              	MX_BP1 - @lasp_lib.LASP                                     	 30A2 30D6                    
MX_CLK_DDR4_COMP_N  	MX_CLK_DDR4_COMP_N - @lasp_lib.LASP                         	 31A3 53C6 53D1               
MX_CLK_DDR4_COMP_P  	MX_CLK_DDR4_COMP_P - @lasp_lib.LASP                         	 31A3 53C6 53D2               
MX_CONF_DONE        	MX_CONF_DONE - @lasp_lib.LASP                               	 42B4 42C4 42C4               
MX_CONF_INIT_DONE   	MX_CONF_INIT_DONE - @lasp_lib.LASP                          	 42C4 42D4                    
MX_CONF_NCONFIG     	MX_CONF_NCONFIG - @lasp_lib.LASP                            	 42C4 42D4                    
MX_CONF_NSTATUS     	MX_CONF_NSTATUS - @lasp_lib.LASP                            	 42C4 42D4                    
MX_CONF_SDM_SCL     	MX_CONF_SDM_SCL - @lasp_lib.LASP                            	 33C5 42A3 42B4               
                    	S10_SDM_SCL - @lasp_lib.ALIMS(i12_page4)                    	 90C3<                        
MX_CONF_SDM_SDA     	MX_CONF_SDM_SDA - @lasp_lib.LASP                            	 33C5 42A3 42B4               
                    	S10_SDM_SDA - @lasp_lib.ALIMS(i12_page4)                    	 90C3<>                       
